ts_code,trade_date,return_1,return_3,ma_ratio_5_10,ma_ratio_5_20,vol_ratio_5,high_low_range,return_std_5,momentum_3,amount_ratio,green_days,close,future_max_return,预测概率,预测标签,建议
000000.SZ,20250525,0.0015009049948331,-0.0351857797362231,1.063632395036059,1.059511062929587,1.0363959249946104,0.029718109736061,0.0271355070258764,0.9224514100451556,1.2199415492372423,0.0071879830265956,14.927167049760648,0.0,0.00017746149807426937,0,❌ 不建议买入
000001.SZ,20250525,-0.0179014264940526,-0.009202739606266,1.0676480826580534,0.9294557856216996,1.366698822358955,0.0414094023943201,0.0071382074315602,-0.4740017340728009,1.2020866680026234,0.096185957621021,9.051834711874548,0.0,0.00012201345276628745,0,❌ 不建议买入
000002.SZ,20250525,0.0186069445850202,-0.013008758151093,1.077090772586054,0.9992946669590144,0.8594135468390226,0.0322053122368724,0.025370602610692,0.9850260878136678,1.038974361244016,0.9626309619670892,12.704567098526375,0.0,0.00013957216194363458,0,❌ 不建议买入
000003.SZ,20250525,0.0097398500612965,0.0166984324049815,1.0843891768682452,0.9216159608543472,1.318929083978713,0.0416220214908219,0.0145827273535159,-0.0021015270475366,1.306909305681522,0.6346884873704489,13.071702971231357,0.0,0.0001641637229663954,0,❌ 不建议买入
000004.SZ,20250525,0.0061193023175441,-0.0084438873433814,0.9515803596225738,0.9054995977563598,0.9887691837274528,0.0447780957036961,0.0143126613058802,0.7938976402925462,0.8833316114650648,0.6523257916253571,12.827396819740912,0.0,0.0001686170532852597,0,❌ 不建议买入
000005.SZ,20250525,0.0238461681985439,0.0169079341078204,0.9622037285845596,1.0458571048811065,1.1384380776717753,0.0497202701578183,0.0293301718570689,0.6788744337158368,1.0786066177171607,0.2665260326142468,12.530728523889833,0.0,0.0001978613016062947,0,❌ 不建议买入
000006.SZ,20250525,0.0102361837346991,0.0426811839875856,0.9218586377162784,0.9850226649265816,1.18932791252712,0.0202214036550789,0.0167292329500818,-0.3709115164280283,1.3307868976005828,0.1084381860956245,13.238377071629335,0.0,0.00015356447332062168,0,❌ 不建议买入
000007.SZ,20250525,0.0241377301192744,0.0347628988753955,1.0537784986061876,0.9287134200696712,1.29563092094822,0.0454498656998718,0.0116795346135459,-0.669811003018141,0.9734463429735024,0.6628664231240019,9.206281320835169,0.0,0.0001381525188726002,0,❌ 不建议买入
000008.SZ,20250525,0.0227978945830956,-0.0018768064866187,0.9691957051078156,0.9863649462552644,0.8588434683002192,0.0103367356319941,0.0058628480473311,-0.3194112861619456,1.0113330430997565,0.7504132490896213,11.64813401601926,0.0,0.00013820746335766384,0,❌ 不建议买入
000009.SZ,20250525,0.0105917954901696,-0.0242437714545025,0.9015761341901484,1.0125393107919778,1.4128633454639346,0.0484622226066728,0.0115036005855106,0.8320809788892516,1.2716146530519985,0.0989205225529956,10.883611361703132,0.0,0.00014784818137278654,0,❌ 不建议买入
